combo	run	secs	child_maxrss_mb	server_rss_mb	text
sensevoice	1	0.570	322	-	今天我们讨论一下语音识别的方案，默认还是用随包的sense voiceice queen3座成可以在设置窗口里下载的可选项0.6B给内存小的机器1.7B给想要更准的人。
sensevoice	2	0.382	322	-	今天我们讨论一下语音识别的方案，默认还是用随包的sense voiceice queen3座成可以在设置窗口里下载的可选项0.6B给内存小的机器1.7B给想要更准的人。
sensevoice	3	0.387	322	-	今天我们讨论一下语音识别的方案，默认还是用随包的sense voiceice queen3座成可以在设置窗口里下载的可选项0.6B给内存小的机器1.7B给想要更准的人。
sensevoice	4	0.427	322	-	今天我们讨论一下语音识别的方案，默认还是用随包的sense voiceice queen3座成可以在设置窗口里下载的可选项0.6B给内存小的机器1.7B给想要更准的人。
sensevoice	5	0.372	322	-	今天我们讨论一下语音识别的方案，默认还是用随包的sense voiceice queen3座成可以在设置窗口里下载的可选项0.6B给内存小的机器1.7B给想要更准的人。
qwen3-0.6b-cli	1	2.153	813	-	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：零点六B给内存小的机器，一点七B给想要更准的人。
qwen3-0.6b-cli	2	2.034	813	-	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：零点六B给内存小的机器，一点七B给想要更准的人。
qwen3-0.6b-cli	3	2.003	816	-	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：零点六B给内存小的机器，一点七B给想要更准的人。
qwen3-0.6b-cli	4	2.034	816	-	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：零点六B给内存小的机器，一点七B给想要更准的人。
qwen3-0.6b-cli	5	2.003	816	-	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：零点六B给内存小的机器，一点七B给想要更准的人。
qwen3-0.6b-resident	1	2.147	816	817	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：0.6B给内存小的机器，1.7B给想要更准的人。
qwen3-0.6b-resident	2	0.367	816	818	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：0.6B给内存小的机器，1.7B给想要更准的人。
qwen3-0.6b-resident	3	0.354	816	818	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：0.6B给内存小的机器，1.7B给想要更准的人。
qwen3-0.6b-resident	4	0.349	816	818	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：0.6B给内存小的机器，1.7B给想要更准的人。
qwen3-0.6b-resident	5	0.354	816	818	今天我们讨论一下语音识别的方案。默认还是用随包的 Sense Voice。QN三座城可以在设置窗口里下载的可选项：0.6B给内存小的机器，1.7B给想要更准的人。
qwen3-1.7b-cli	1	2.432	2488	-	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Quinn 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统给想要更准的人。
qwen3-1.7b-cli	2	2.510	2491	-	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Quinn 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统给想要更准的人。
qwen3-1.7b-cli	3	2.433	2491	-	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Quinn 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统给想要更准的人。
qwen3-1.7b-cli	4	2.455	2491	-	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Quinn 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统给想要更准的人。
qwen3-1.7b-cli	5	2.599	2492	-	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Quinn 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统给想要更准的人。
qwen3-1.7b-resident	1	2.601	2492	2489	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Queen 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统想要更准的人。
qwen3-1.7b-resident	2	0.690	2492	2491	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Queen 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统想要更准的人。
qwen3-1.7b-resident	3	0.687	2492	2492	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Queen 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统想要更准的人。
qwen3-1.7b-resident	4	0.688	2492	2492	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Queen 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统想要更准的人。
qwen3-1.7b-resident	5	0.690	2492	2492	今天我们讨论一下语音识别的方案，默认还是用随包的 Sense Voice Queen 三做成，可以在设置窗口里下载的可选项，零点六 b 给内存小的机器，一点七 b 统想要更准的人。
