en000	0.299	However, due to the slow communication channels, styles in the West could lag behind by 25 to 30 years.
en001	0.178	For the night between 1,50 and 200 copies were made now known as Dunlap broadsides.
en002	0.236	Anyone who's going to dry at hot latitudes or over mountain passes should consider the possibility of snow, ice or freezing temperatures.
en003	0.315	A well rounded athlete, the tiger can climb, though not well, swim, leap great distances and pull with five times the force of a strong human.
en004	0.221	Travelers are strongly advised to be aware of any risk of severe weather affecting their area, as they may affect any travel plans.
en005	0.302	To the north and within easy reach is the romantic and fascinating town of Centtra, and which was made famous to foreigners after a glowing account of its splendors recorded by Lord Bryan.
en006	0.162	Television reports show white smoke coming from the plant.
en007	0.172	The find also grabs insight into the evolution of feathers and birds.
en008	0.292	Everyone participates in society and uses transportation systems, almost everyone complains about transportation systems.
en009	0.194	Massoss was the apex predator of its time. so it feared nothing except other Mossaus.
en010	0.246	Romanticism had a large element of cultural determinism drawn from writers such as Goth, Fitchched and Schlegel.
en011	0.172	This is called a chemicals P,. You can make an indicator using red cabbage juice.
en012	0.164	The governor's office in 19 of the injured were police officers.
en013	0.518	We agree with the USOC statement that the interests of our athletes and clubs and their sport may be better served by moving forward with meaningful change within our organization rather than the certificationtification.
en014	0.341	We don't know for sure, but it may have had a forked tongue. The diet included turtles, large fists, other mos saucers, and it may even have been a cannibal.
en015	0.225	Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.
en016	0.334	There are still many men and women alive who survived their time here and many more who had loved ones who were murdered or worked to death there, Jews and non Jews alike.
en017	0.180	Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.
en018	0.194	It is thinner under the Maria and thicker under the highlands.
en019	0.270	The tiger's roar is not like the full forced roar of a lion, but more like a sentence of a snarly shouted words.
en020	0.453	The central authority of the church has been in Rome for over a thousand years, and this concentration of power and money led to many to question whether this tenant was being met.
en021	0.269	However, that is not true, although there is something written on the back of the document, it is not a treasure map.
en022	0.230	The vehicle itself was taken away from the scene of the accident at approximately 1,200 GMT on the same day.
en023	0.210	Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.
en024	0.228	Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceive Washington insiders.
en025	0.188	Accepted were Aristotle's views on all matters of science, including physiology.
en026	0.353	middle order batsman Saachein Tukdoar and raul dvit performed well and made1 hundred0 run partnership.
en027	0.294	Its renowned for being an epicenter of luxury began in about 400 A D and lasted up until about 1100 A.
en028	0.260	The1 namestorm of the Atlantic hurricaneric season, subtropic stormor Jerry formed in the Atlantic Ocean today.
en029	0.247	He has been unable to take the drugs needed to overcome his pain as they are banned from the games.
en030	0.191	Swear the two dry powders together, and then with clean wet hands, squeezee them into a bowl.
en031	0.281	If you're not used to driving on country roads, keep your wits about you. steep grades, narrow lanes and sharp curves predominate.
en032	0.278	The official Falkland's currency is a Falkland pound F K P, whose value is equivalent to that of a British pound, G P P.
en033	0.207	The term bug is used by entomologists in a formal sense for this group of insects.
en034	0.418	Scientists hope to understand how planets form, especially how the earth form since comets collided with the earth long ago.
en035	2.527	Finally, there are many small cats, including loose pet cats that eat the far more numerous small prey, like insects, rodents, lizards and birds.
en036	0.500	One can only wonder what the keyboard will become when something newer comes along.
en037	0.781	The presence of a true invisible team, Larsen de La Foso 1989 page 1,0,9, is also a unique component of a virtual team.
en038	2.419	Be firm in turning down men and don't be afraid to stand your ground C differences are not and doesn't make it okay.
en039	2.553	In many other cities of Italy and in the rest of the world, particularly in Poland, similar setups were made, which were viewed by a great number of people.
en040	0.595	He was reportedly aged in his 20s in a statement, Beaber said, while I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim.
en041	0.313	There may be more Maria on the near side because the crust is thinner. It was easy for lava to rise up to the surface.
en042	0.403	The fission bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.
en043	0.560	But being placed in the high tropics just a few degrees north of equator, you will need to deal with both heat always and sun strong sun when the sky is clear more rarely.
en044	0.431	He was initially hospitalized in the James Pageant Hospital in Great Yarmouth.
en045	0.744	Congress began funding the Obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.
en046	0.398	This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.
en047	0.648	Anyone who is going to drive at high latitudes or over mountainlon passes should consider the possibility of snow, ice or freezing temperatures.
en048	1.459	But being placed in the high tropics, just a few degrees north of the equator, you will need to deal with both heat always and strong sun when the sky is clear more rarely.
en049	0.407	It also attacked anything that entered the water. Even a giant dinosaur, such as tea Rex would be no match for it.
en050	0.442	The Shenang zone, however, works somewhat like one country in this respect.
en051	1.045	He waiils basically lie to us from the start first, by acting as if this was for legal reasons, Second by pretending he was listening to us right up to his art deletion.
en052	0.228	Marilli' scored in a new provisional Eoral cancer of nine members yesterday.
en053	0.329	As a result, the process of an organization working together to overcome an obstacle can lead to a new innovative process to serve the customers needs.
en054	0.159	This seems sensible because the earth doesn't feel as if it's moving, does it.
en055	0.209	Regional and seasonal severe weather phenomena include blizzards, snowstorms, ice storms and dust storms.
en056	0.426	First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq's borders against hostile interventions and to reestablish diplomatic relations with its neighbors.
en057	0.298	By 1976,30% of Mahu Picchu had been restored and restoration continues till today.
en058	0.421	Some cruises feature Berlin, Germany and the brochures. As you can see from the map above, Berlin is nowhere near the sea, and a visit to the city is not included in the price of the cruise.
en059	0.380	Scafffolding is not a method of learning, but rather an aid that provides support to individuals who are undergoing a new learning experience such as using a new computer program or beginning a new project.
mixed000	0.159	no我就案是那个ISM information systems management。
mixed001	0.132	想过，但是因为这阵子project有点多。
mixed002	0.158	I like hot pot.
mixed003	0.173	对我平时然后都喜欢跟tonny一起玩。
mixed004	0.158	但是我现在换 majorr了，换成comp engineering。
mixed005	0.154	那总共的professor大概有100多位。
mixed006	0.155	就是这是我们的心念。
mixed007	0.151	所以你还蛮喜欢，也蛮习惯疯狂 life么就是。
mixed008	0.178	我我自己是之前在这边exchange，就是我在这边当exchan student。
mixed009	0.239	聊一些你现在做什么research方向？
mixed010	0.274	呃，怎么之类的，就是我们希望透过多轮就是mon turn的方式，然后最后让这个stem可以帮助我们完成某一项任务。
mixed011	0.178	对，这一块算比较easy的part。然后。
mixed012	0.189	就是user去会去respon一些就是interesting的。
mixed013	0.221	比较就是对我来说比较new，但是又就是说比比较容易习惯。
mixed014	0.246	对，他时apply for the fourth year，哎我就我去ex是在第四年的时候，但是我apply的时候在shird years的时候apply。
mixed015	0.347	就是美国学校的exchan的话，t twelve2 score need to be like both1 and five.
mixed016	0.218	也也是英语方向为主。然后整个亚洲这样看起来不是hoong Kong，就是singap坡。
mixed017	0.258	就是你已经想好你要念哪个 major了吗？
mixed018	0.447	就你要申请去交换，你并不需要去说哦，我要去哪一个departyment交换，是直接选school。
mixed019	0.423	那我们的dement其实howwork跟 so其实就各 by。
mixed020	0.533	感觉还不错， robototics就是 robototics mix with language application。
mixed021	0.548	对，就是当时考虑过挺多major的。
mixed022	0.187	还是做software的方向。
mixed023	0.282	所以你平时就现在大部分时间还是tennis就打网球。
mixed024	0.171	嗯，呀，因为体积比较小。
mixed025	0.136	首先为什么basketball呢？因为就是。
mixed026	0.125	baminton其实可以就是。
mixed027	0.159	就是特别不好掌控那个就是你braack balance。
mixed028	0.202	对，就是那些一些basketball或者soccer。对。
mixed029	0.157	比较容易学的是swim。
mixed030	0.260	啊，是因为我比较喜欢篮球，所以我喜欢的运动也有michaeljordan啊。
mixed031	0.171	因为他的得分方式非常eicient。
mixed032	0.218	就是 a famous Chinese player, Yao Ming.
mixed033	0.852	而且他的三分，他的layup，他的那个closeover都非常的非常的标准，非常的那个具有威险性。
mixed034	1.380	Now, why you choose Hong Kong instead of other other foreign countries like US or Australia.
mixed035	0.294	那你平时怎么跟lo口交流啊？
mixed036	1.789	个人的person意哦，还有那个。
mixed037	1.560	大四上学期好像是反正好像是6月份的时候才开始准备I。
mixed038	0.187	但是你们你不觉得平时也有很多定腰感吗？
mixed039	0.872	sandwichandwiches或者是其他东西分给我们吃。然后我们就边吃边听他分享，需要他的一些他们公司的一些东西。
mixed040	0.310	那种关于呃着装啊，还有关于那些interview skills的东西，所以you need to have呃 to dress for。
mixed041	0.175	self driving方面，自动驾驶方面。
mixed042	0.125	他他 make a mistake.
mixed043	0.174	很大程度上是属于那种data driver。
mixed044	0.237	另一个呢就是responsibility的问题。
mixed045	0.153	就是我觉得呢要分不同的sitation。
mixed046	0.274	如果你customer在知道这个会有5per的exci。
mixed047	0.205	然后如果这样的话，exit happen的话，我觉得就是company要就负这个责任。
mixed048	0.394	第二个呢，它的测试也很很复杂，就是说你在测试的时候，你只能simulate这个sario。
mixed049	0.350	AI可以就是很大很大程度上改善我们的生活。比如说什么一些translation啊，还有一些就是。
mixed050	0.703	对，但是他也有他的drawback，就是说就是有手机可以玩一些很多很多游戏之类的，会影响学习。
mixed051	0.319	你要就是教导就是自己的孩子如何使用smart phone是一个非常关键的。
mixed052	0.209	我们也学背背 data上学期，然后我们主要是拿来做一些。
mixed053	0.181	做某自，然后再去做预测，主要还是做预测。
mixed054	0.146	computer language还program language东西我还是不太懂。
mixed055	0.135	哦，那个是那个是wind，好像是做。
mixed056	0.148	我当时学privacy的时候，也是觉得。
mixed057	0.133	然后他可能会record your personal。
mixed058	0.236	他们之所以不用阿里pay的原因，就是因为啊他们觉得阿里pay很轻易的就能。
mixed059	0.126	signin的话只需要你的一个。
zh000	0.250	这并不是告别，这是一个篇章的结束，也是新篇章的开始。
zh001	0.346	有些人认为它是对的，但也有很多人是反对一见。他们认为太阳系是围绕着地球运转的，太阳也是，甚至其他恒星也是。
zh002	0.323	自1966年以来，孙德尔本斯一直是野生动物保护区。据估计，目前该区生活着400只皇家孟加拉虎和大约3万只梅花鹿。
zh003	0.298	该海湾曾在1889年发生过一场臭名浇著的海军对峙。当时来自德国、美国和英国的7艘舰船拒绝驶离这个海湾。
zh004	0.199	对儿童来说，金字塔的声光表演是该地区最有趣的活动之一。
zh005	0.261	起初，他被送往位于大雅茅茨的詹姆斯佩吉特医院进行救治。
zh006	0.301	平时你总能在这里听到游客和小摊贩的声音，声光交织，就像在讲述一个动人的故事。
zh007	0.491	胡娜已经辞职，他在内阁中的位置将由国会议员艾德代为接体。预计国会议员诺曼兰姆将解替艾维空处的商务部长一职。
