en000	3.135	However, due to the slow communication channels, styles in the West could lag behind by twenty-five to thirty years.
en001	1.988	The night between 150 and 200 copies were made, now known as Dunlap broadsides.
en002	1.903	Anyone who is going to drive at high latitudes or over mountain passes should consider the possibility of snow, ice, or freezing temperatures.
en003	1.959	A well-rounded athlete, the tiger can climb, though not well, swim, leap great distances, and pull with five times the force of a strong human.
en004	1.996	Travelers are strongly advised to be aware of any risk of severe weather affecting their area, as it may affect any travel plans.
en005	2.040	To the north and within easy reach is the romantic and fascinating town of Centra, in which was made famous to foreigners after a glowing account of its splendours recorded by Lord Bryan.
en006	1.855	Television reports show white smoke coming from the plant.
en007	1.900	The find also grats insight into the evolution of feathers in birds.
en008	1.922	Everyone participates in society and uses transportation systems. Almost everyone complains about transportation systems.
en009	1.912	Mazosaurus was the apex predator of its time, so it feared nothing except other Mazosaurus.
en010	1.901	Romanticism had a large element of cultural determinism, drawn from writers such as Goethe, Ficht, and Schlegel.
en011	1.856	This is called a chemical's pH. You can make an indicator using red cabbage juice.
en012	1.861	The governor's office said 19 of the injured were police officers.
en013	2.079	We agree with the USOC statement that the interests of our athletes and clubs and their sport may be better served by moving forward with meaningful change within our organization, rather than the certification.
en014	2.022	We don't know for sure, but it may have had a forked tongue. Its diet included turtles, large fish, other mosasaurs, and it may even have been a cannibal.
en015	1.880	Using ships to transport goods is by far the most efficient way to move large amounts of people and goods across oceans.
en016	1.990	There are still many men and women alive who survived their time here, and many more who had loved ones who were murdered or worked to death there— Jews and non-Jews alike.
en017	1.834	Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.
en018	1.798	It is thinner under the Maria and thicker under the Highlands.
en019	1.942	The tiger's roar is not like the full-force roar of a lion, but more like a sentence of a snarling shouted words.
en020	1.974	The central authority of the church has been in Rome for over a thousand years, and this concentration of power and money led to many to question whether this tenant was being met.
en021	1.939	However, that is not true. Although there is something written on the back of the document, it is not a treasure map.
en022	1.923	The vehicle itself was taken away from the scene of the accident at approximately twelve hundred GMT on the same day.
en023	1.825	Soon after the outbreak of hostilities, Britain initiated a naval blockade of Germany.
en024	1.881	Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.
en025	1.857	Accepted were Aristotle's views on all matters of science, including physiology.
en026	1.842	Middle Order batsman Sachin Tukdalkar and Rahul Dravid performed well and made a hundred run partnership.
en027	1.906	It is renowned for being an epicenter of luxury, began in about four hundred A.D. and lasted up until about eleven hundred A.D.
en028	1.915	The tenth named storm of the Atlantic hurricane season, subtropic storm Jerry, formed in the Atlantic Ocean today.
en029	1.911	He has been unable to take the drugs needed to overcome his pain as they are banned from the games.
en030	1.863	Swirl the two dry powders together, and then with clean wet hands squeeze them into a ball.
en031	1.907	If you're not used to driving on country roads, keep your wits about you. Steep grades, narrow lanes, and sharp curves predominate.
en032	1.868	The official Falkland's currency is the Falkland Pound. FKP whose value is at equivalent to that of a British Pound, GBP.
en033	1.868	The term "bug" is used by entomologists in a formal sense for this group of insects.
en034	1.853	Scientists hope to understand how planets form, especially how the Earth formed since comets collided with the Earth long ago.
en035	1.933	Finally, there are many small cats, including loose pet cats that eat the far more numerous small prey like insects, rodents, lizards, and birds.
en036	1.799	One can only wonder what the keyboard will become when something newer comes along.
en037	1.913	The presence of a true invisible team, Larson and LaFosse, 1989, page 109, is also a unique component of a virtual team.
en038	1.900	Be firm in turning down men, and don't be afraid to stand your ground. Cultural differences are not—it doesn't make it okay.
en039	1.923	In many other cities of Italy and in the rest of the world, particularly in Poland, similar setouts were made, which were viewed by a great number of people.
en040	1.970	He was reportedly aged in his twenties, in a statement, Bieber said, "While I was not present nor directly involved with this tragic accident, my thoughts and prayers are with the family of the victim."
en041	1.867	There may be more Maria on the near side because the crust is thinner. It was easy for lava to rise up to the surface.
en042	1.882	The fission bomb works on the principle that it takes energy to put together a nucleus with many protons and neutrons.
en043	1.921	But being placed in the high tropics just a few degrees north of equator, you will need to deal with both heat always and sun strong sun when the sky is clear more rarely.
en044	1.895	He was initially hospitalized in the James Paget Hospital in Great Yarmouth.
en045	1.940	Congress began funding the Obscenity Initiative in fiscal 2005 and specified that the FBI must devote ten agents to adult pornography.
en046	1.852	This sediment was necessary for creating sandbars and beaches, which served as wildlife habitats.
en047	1.888	Anyone who is going to drive at high latitudes or over mountain passes, should consider the possibility of snow, ice, or freezing temperatures.
en048	1.955	But being placed in the high tropics, just a few degrees north of the equator, you will need to deal with both heat, always, and strong sun, when the sky is clear, more rarely.
en049	1.868	It also attacked anything that entered the water, even a giant dinosaur such as T. rex would be no match for it.
en050	1.815	The Shanghainan zone, however, works somewhat like one country in this respect.
en051	2.014	He wills basically lie to us from the start, first by acting as if this was for legal reasons, second by pretending he was listening to us right up to his art deletion.
en052	1.831	Martelli swore in a new provisional electoral council of nine members yesterday.
en053	1.889	As a result, the process of an organization working together to overcome an obstacle can lead to a new, innovative process to serve the customer's needs.
en054	1.869	This seems sensible because the earth doesn't feel us if it's moving, does it?
en055	1.855	Regional and seasonal severe weather phenomena include blizzards, snowstorms, ice storms, and dust storms.
en056	2.055	First among its seventy-eight recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq's borders against hostile interventions, and to re-establish diplomatic relations with its neighbors.
en057	1.877	By 1976, 30% of Machu Picchu had been restored, and restoration continues till today.
en058	1.942	Some cruises feature Berlin, Germany, in the brochures. As you can see from the map above, Berlin is nowhere near the sea, and a visit to the city is not included in the price of the cruise.
en059	2.037	Scaffolding is not a method of learning, but rather an aid that provides support to individuals, whom are undergoing a new learning experience, such as using a new computer program or beginning a new project.
mixed000	1.800	那我专爱是那个ISM Information System Management。
mixed001	1.781	想过，但是因为这阵子project有点多。
mixed002	1.822	Hmm, I like hot pot.
mixed003	1.747	对我平时然后都喜欢跟Tony一起玩。
mixed004	1.811	但是我现在换没觉了，换成computer engineering了。
mixed005	1.844	那走过的Professor大概有一百多位。
mixed006	1.777	就是就是我们的Senior。
mixed007	1.827	所以你还蛮喜欢也蛮习惯风控Live的嘛，就是。
mixed008	1.847	我我自己是之前在这面exchange，就是我来这边当exchange student。
