category	take	reference	hypothesis
control_thai_only	arm-001	เมื่อเช้าฝนตกหนักมาก ทำให้รถติดกว่าปกติ	เมื่อเช้าฝนตกหนักมาก ทำให้รถติดกว่าปกติ
control_thai_only	arm-002	ผมออกจากบ้านตั้งแต่หกโมงครึ่ง แต่ยังไปถึงที่ทำงานสาย	ผมออกจากบ้านตั้งแต่หกโมงครึ่ง แต่ยังไปถึงที่ทำงานสาย
control_thai_only	arm-003	ช่วงนี้อากาศเปลี่ยนแปลงบ่อย หลายคนในทีมไม่สบาย	ช่วงนี้อากาศเปลี่ยนแปลงบ่อย หลายคนในทีมไม่สบาย
control_thai_only	arm-004	สัปดาห์หน้าผมจะลาพักร้อนสามวัน ไปเที่ยวกับครอบครัวที่เชียงใหม่	สัปดาห์หน้าผมจะลาพักร้อนสามวันไปเที่ยวกับครอบครัวที่เชียงใหม่
control_thai_only	arm-005	ถ้ามีเรื่องด่วนติดต่อผมทางโทรศัพท์ได้ตลอดเวลา	ถ้ามีเรื่องด่วนติดต่อผมทางโทรศัพท์ได้ตลอดเวลา
control_thai_only	arm-006	ขอให้ทุกคนดูแลสุขภาพด้วยนะครับ	ขอให้ทุกคนดูแลสุขภาพด้วยนะครับ
daily_collaboration	arm-001	เมื่อวานผม review code ของทีมแล้ว เจอ bug อยู่สองสามจุด	เมื่อวานผมรีวิวโค้ดของทีมแล้วเจอบั๊กอยู่สองสามจุด
daily_collaboration	arm-002	ช่วย fix แล้ว push ขึ้น branch develop ภายในวันนี้ด้วยนะครับ	ช่วยฟิกแล้วพุทขึ้นแบนด์เดเวอเรทภายในวันนี้ด้วยนะครับ
daily_collaboration	arm-003	ผมจะ comment รายละเอียดไว้ใน GitHub ให้ดู	ผมจะคอมเมนต์รายละเอียดไว้ในกิทฮับให้ดู
daily_collaboration	arm-004	เรื่อง performance ตอนนี้ API ตอบกลับช้ากว่า 2 วินาที	เรื่อง performance ตอนนี้ API ตอบกับช้ากว่าสองวินาที
daily_collaboration	arm-005	ต้องหาวิธี optimize query ก่อนที่ลูกค้าจะร้องเรียน	ต้องหาวิธี optimize query ก่อนที่ลูกค้าจะร้องเรียน
daily_collaboration	arm-006	บ่ายนี้มีประชุมกับทีม design ตอนบ่าย 2 โมง	บ่ายนี้มีประชุมกับทีมดีไซน์ตอนบ่ายสองโมง
daily_collaboration	arm-007	อย่าลืมอัปเดต document ใน Notion ด้วยนะครับ	อย่าลืมอัปเดตด็อกิเมนต์ในโนชั่นด้วยนะครับ
daily_collaboration	arm-008	ขอบคุณมากครับ ไว้เจอกันสัปดาห์หน้า	ขอบคุณมากครับ ไว้เจอกันสัปดาห์หน้า
devops	arm-001	สวัสดีครับ วันนี้ผมจะอธิบายวิธี deploy ระบบของเราขึ้น production	สวัสดีครับ วันนี้ผมจะอธิบายวิธี deploy ระบบของเราขึ้น production
devops	arm-002	เราใช้ Docker สร้าง container แล้วส่งขึ้น Kubernetes cluster	เราใช้ Docker สร้างคอนเทนเนอร์แล้วส่งขึ้น Kubernetes ตีดคัตเตอร์
devops	arm-003	ก่อน merge pull request ทุกครั้ง ต้องรัน unit test ให้ผ่านก่อน	ก่อน merge pull request ทุกครั้งต้อง run unit test ให้ผ่านก่อน
devops	arm-004	ถ้า build ไม่ผ่าน ระบบ CI จะแจ้งเตือนใน Slack ทันที	ถ้าบิลไม่ผ่านระบบ CI จะแจ้งเตือนใน Slack ทันที
devops	arm-005	ฐานข้อมูลเราใช้ PostgreSQL ส่วน cache ใช้ Redis	ฐานข้อมูลของเราใช้ PostgresQL ส่วนแคปใช้ Redis
devops	arm-006	ตอนนี้เรามี server ทั้งหมด 12 เครื่อง แบ่งเป็น 3 zone	ตอนนี้เรามีเซิร์ฟเวอร์ทั้งหมดสิบสองเครื่อง แบ่งเป็นสามโซน
devops	arm-007	ปัญหาที่เจอบ่อยที่สุดคือ memory leak ใน service ตัวเก่า	ปัญหาที่เจอบ่อยที่สุดคือเมมโมรี่เล็กในเซอร์วิสตัวเก่า
devops	arm-008	พรุ่งนี้เช้าเก้าโมงครึ่ง เราจะปล่อย version ใหม่ครับ	พรุ่งนี้เช้าก็โมงครึ่งเราจะปล่อยเวอร์ชันใหม่ครับ
